,RUN,AverageLogRT
0,Run1,2.6459642857142853
1,Run2,2.650745454545455
2,Run3,2.641839285714286
3,Run4,2.6601481481481475
4,Run5,2.6146949152542374
5,Run6,2.504154929577465
6,Run7,2.4418974358974364
7,Run8,2.447448717948718
8,Run9,2.45001282051282
9,Run10,2.6686981132075474
10,Run11,2.669055555555556
11,Run12,2.6390357142857144
12,Run13,2.6498727272727267
13,Run14,2.6499636363636365
14,Run15,2.6215862068965516
15,Run16,2.580968253968254
16,Run17,2.5036527777777775
17,Run18,2.4597307692307693
18,Run19,2.470789473684211
19,Run20,2.3904235294117653
20,Run21,2.4187654320987657
21,Run22,2.655333333333332
22,Run23,2.6277586206896557
23,Run24,2.5937704918032782
24,Run25,2.647375
25,Run26,2.4691891891891893
26,Run27,2.3401170212765963
27,Run28,2.2990707070707073
28,Run29,2.296474747474748
29,Run30,2.325526315789474
30,Run31,2.3541348314606743
31,Run32,2.339150537634409
32,Run33,2.350269662921348
33,Run34,2.635070175438597
34,Run35,2.379732558139535
35,Run36,2.4385064935064933
