,RUN,AverageLogRT
0,Run1,2.7724776947354237
1,Run2,2.756229277693518
2,Run3,2.713438126869736
3,Run4,2.6931915773775668
4,Run5,2.6983131646249943
5,Run6,2.725344505909559
6,Run7,2.6542005881138326
7,Run8,2.622190882135781
8,Run9,2.6463191731517677
9,Run10,2.74771931921555
10,Run11,2.6874913552474218
11,Run12,2.6601970465970215
12,Run13,2.733446489009617
13,Run14,2.624767755408442
14,Run15,2.626124597440094
15,Run16,2.588215355503615
16,Run17,2.5860193811402103
17,Run18,2.5860825544778088
18,Run19,2.590412062787197
19,Run20,2.6072462549077935
20,Run21,2.630166985176254
21,Run22,2.6938856752204705
22,Run23,2.6782358209030748
23,Run24,2.6700188640660367
24,Run25,2.727670650191559
25,Run26,2.639130228040001
26,Run27,2.6048762532208696
27,Run28,2.5743601372384317
28,Run29,2.5891462271017742
29,Run30,2.574382180445874
30,Run31,2.602674915493782
31,Run32,2.591877238574675
32,Run33,2.59236861209777
33,Run34,2.67647520015219
34,Run35,2.6521466079170892
35,Run36,2.6142356536451423
